"PART#","CA WAREHOUSE","VA WAREHOUSE","TX WAREHOUSE","PRICE"
"PC3050P","LIMITED QTY","LIMITED QTY","LIMITED QTY","63.66"
"PC3051","OUT OF STOCK","OUT OF STOCK","OUT OF STOCK","81.66"
"PC3052P","IN STOCK","LIMITED QTY","IN STOCK","53.66"
"PC3053P","IN STOCK","IN STOCK","LIMITED QTY","54.66"
"PC3054P","IN STOCK","IN STOCK","IN STOCK","61.66"
"PC3055P","IN STOCK","LIMITED QTY","LIMITED QTY","35.66"
"PC3056P","IN STOCK","LIMITED QTY","LIMITED QTY","49.66"
"PC3057P","LIMITED QTY","LIMITED QTY","LIMITED QTY","51.66"
"PC3058P","LIMITED QTY","LIMITED QTY","LIMITED QTY","52.66"
"PC3060P","IN STOCK","LIMITED QTY","LIMITED QTY","46.66"
"PC3061P","LIMITED QTY","OUT OF STOCK","LIMITED QTY","45.66"
"PC3062P","IN STOCK","LIMITED QTY","LIMITED QTY","49.66"
"PC3063P","IN STOCK","LIMITED QTY","LIMITED QTY","43.66"
"PC3066P","LIMITED QTY","LIMITED QTY","LIMITED QTY","47.66"
"PC3067P","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","59.66"
"PC3068P","LIMITED QTY","OUT OF STOCK","LIMITED QTY","65.66"
"PC3070P","LIMITED QTY","IN STOCK","LIMITED QTY","62.66"
"PC3071P","LIMITED QTY","LIMITED QTY","LIMITED QTY","62.66"
"PC3072P","LIMITED QTY","LIMITED QTY","OUT OF STOCK","61.66"
"PC3073","LIMITED QTY","LIMITED QTY","OUT OF STOCK","143.66"
"PC3074P","LIMITED QTY","LIMITED QTY","LIMITED QTY","51.66"
"PC3075P","IN STOCK","LIMITED QTY","LIMITED QTY","51.66"
"PC3076P","IN STOCK","LIMITED QTY","LIMITED QTY","59.66"
"PC3077P","LIMITED QTY","LIMITED QTY","LIMITED QTY","56.66"
"PC3078P","IN STOCK","LIMITED QTY","LIMITED QTY","48.66"
"PC3079P","IN STOCK","LIMITED QTY","LIMITED QTY","55.66"
"PC3080","IN STOCK","LIMITED QTY","LIMITED QTY","52.66"
"PC3081P","LIMITED QTY","LIMITED QTY","LIMITED QTY","59.66"
"PC3082","LIMITED QTY","LIMITED QTY","LIMITED QTY","52.66"
"PC3084P","IN STOCK","LIMITED QTY","LIMITED QTY","54.66"
"PC3085P","IN STOCK","LIMITED QTY","LIMITED QTY","55.66"
"PC3086","LIMITED QTY","IN STOCK","IN STOCK","51.66"
"PC3089P","IN STOCK","LIMITED QTY","LIMITED QTY","63.66"
"PC3092P","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC3093","IN STOCK","LIMITED QTY","LIMITED QTY","54.66"
"PC3094P","IN STOCK","IN STOCK","LIMITED QTY","57.66"
"PC3097P","IN STOCK","LIMITED QTY","OUT OF STOCK","62.66"
"PC3098","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","69.66"
"PC3099P","IN STOCK","IN STOCK","LIMITED QTY","49.66"
"PC3100P","IN STOCK","LIMITED QTY","LIMITED QTY","56.66"
"PC3101P","IN STOCK","LIMITED QTY","LIMITED QTY","48.66"
"PC3102P","IN STOCK","LIMITED QTY","LIMITED QTY","57.66"
"PC3103P","IN STOCK","LIMITED QTY","LIMITED QTY","45.66"
"PC3104P","LIMITED QTY","LIMITED QTY","LIMITED QTY","62.66"
"PC3105P","IN STOCK","IN STOCK","LIMITED QTY","49.66"
"PC3107P","LIMITED QTY","LIMITED QTY","LIMITED QTY","45.66"
"PC3108P","IN STOCK","LIMITED QTY","LIMITED QTY","55.66"
"PC3109P","IN STOCK","LIMITED QTY","LIMITED QTY","55.66"
"PC3110P","LIMITED QTY","LIMITED QTY","OUT OF STOCK","102.66"
"PC3111P","IN STOCK","LIMITED QTY","LIMITED QTY","57.66"
"PC3112P","IN STOCK","IN STOCK","IN STOCK","49.66"
"PC3113P","IN STOCK","LIMITED QTY","LIMITED QTY","53.66"
"PC3115A","IN STOCK","LIMITED QTY","LIMITED QTY","73.66"
"PC3116P","IN STOCK","IN STOCK","LIMITED QTY","45.66"
"PC3118A","LIMITED QTY","LIMITED QTY","LIMITED QTY","72.66"
"PC3119","LIMITED QTY","LIMITED QTY","LIMITED QTY","45.66"
"PC3140P","IN STOCK","IN STOCK","LIMITED QTY","43.66"
"PC3148P","LIMITED QTY","LIMITED QTY","LIMITED QTY","49.66"
"PC3152P","LIMITED QTY","LIMITED QTY","LIMITED QTY","45.66"
