Part,Available Quantity,Location Code
AK 1819,1,MAIN
AK 1820,0,MAIN
AK 1821,2,MAIN
AK 1822,0,MAIN
AK 1823,8,MAIN
AK 1824,2,MAIN
AK 1825,5,MAIN
AK 1826,0,MAIN
AK 1827,0,MAIN
AK 1828,0,MAIN
AK 1829,8,MAIN
AK 1830,0,MAIN
AK 1831,8,MAIN
AK 1832,8,MAIN
AK 1833,4,MAIN
AK 1834,8,MAIN
AK 1835,2,MAIN
AK 1836,2,MAIN
AK 1837,0,MAIN
AK 1838,2,MAIN
AK 1839,0,MAIN
AK 1840,0,MAIN
AK 1841,0,MAIN
AK 1842,2,MAIN
AK 1843,0,MAIN
AK 1844,0,MAIN
AK 1845,0,MAIN
AK 1846,1,MAIN
AK 1847,2,MAIN
AK 1849,2,MAIN
AK 1850,2,MAIN
AK 1851,2,MAIN
AK 1852,2,MAIN
AK 1853,2,MAIN
AK 1854,2,MAIN
AK 1855,2,MAIN
AK 1857,2,MAIN
AK 1858,2,MAIN
AK 1859,2,MAIN
AK 1860,0,MAIN
AK 1861,2,MAIN
AK 1862,2,MAIN
AK 1863,2,MAIN
AK 1864,2,MAIN
AK 1865,2,MAIN
AK 1866,2,MAIN
AK 1867,2,MAIN
AK 1868,0,MAIN
AK 1869,2,MAIN
AK 1870,0,MAIN
AK 1871,0,MAIN
AK 1872,0,MAIN
AK 1873,0,MAIN
AK 1874,0,MAIN
AK 1875,2,MAIN
AK 1876,0,MAIN
AK 1877,2,MAIN
AK 1878,0,MAIN
AK 1879,0,MAIN
AK 1880,0,MAIN
AK 1881,2,MAIN
AK 1882,0,MAIN
AK 1883,0,MAIN
AK 1884,2,MAIN
AK 1885,2,MAIN
AK 1886,1,MAIN
AK 1887,8,MAIN
AK 1888,8,MAIN
AK 1889,8,MAIN
AK 1890,0,MAIN
AK 1891,0,MAIN
AK 1892,2,MAIN
AK 1893,0,MAIN
AK 1894,0,MAIN
AK 1895,1,MAIN
AK 1896,0,MAIN
AK 1897,0,MAIN
AK 1898,2,MAIN
AK 1899,0,MAIN
AK 1900,0,MAIN
AK 1901,1,MAIN
AK 1902,0,MAIN
AK 1903,2,MAIN
AK 1904,0,MAIN
AK 1905,2,MAIN
AK 1906,2,MAIN
AK 1907,4,MAIN
AK 1908,0,MAIN
AK 1909,0,MAIN
AK 1910,0,MAIN
AK 1911,1,MAIN
AK 1912,3,MAIN
AK 1913,2,MAIN
AK 1914,2,MAIN
AK 1915,2,MAIN
AK 1916,2,MAIN
AK 1917,0,MAIN
AK 1918,8,MAIN
AK 1919,3,MAIN
AK 1920,8,MAIN
AK 1921,3,MAIN
AK 1922,8,MAIN
AK 1923,8,MAIN
AK 1924,0,MAIN
AK 1925,5,MAIN
AK 1926,5,MAIN
AK 1927,5,MAIN
AK 1928,2,MAIN
AK 1929,1,MAIN
AK 1930,1,MAIN
AK 1931,1,MAIN
AK 1932,1,MAIN
AK 1933,1,MAIN
AK 1934,0,MAIN
AK 1935,2,MAIN
AK 1936,2,MAIN
AK 1937,2,MAIN
AK 1938,2,MAIN
AK 1939,2,MAIN
AK 1940,0,MAIN
AK 1941,6,MAIN
AK 1942,2,MAIN
AK 1943,2,MAIN
AK 1944,0,MAIN
AK 1945,3,MAIN
AK 1946,0,MAIN
AK 1947,0,MAIN
AK 1948,0,MAIN
AK 1949,0,MAIN
AK 1950,0,MAIN
AK 1951,0,MAIN
AK 1952,0,MAIN
AK 1953,0,MAIN
AK 1954,7,MAIN
AK 1955,3,MAIN
AK 1956,0,MAIN
AK 1958,3,MAIN
AK 1959,1,MAIN
AK 1960,0,MAIN
AK 1961,0,MAIN
AK 1962,0,MAIN
AK 1964,7,MAIN
AK 1965,0,MAIN
AK 1966,2,MAIN
AK 1967,1,MAIN
AK 1968,2,MAIN
AK 1969,0,MAIN
AK 1970,0,MAIN
AK 1971,2,MAIN
AK 1972,0,MAIN
AK 1973,3,MAIN
AK 1974,2,MAIN
AK 1975,0,MAIN
AK 1976,8,MAIN
AK 1977,2,MAIN
AK 1978,8,MAIN
AK 1979,0,MAIN
AK 1980,8,MAIN
AK 1981,2,MAIN
AK 1982,2,MAIN
AK 1983,0,MAIN
AK 1984,0,MAIN
AK 1985,8,MAIN
AK 1986,2,MAIN
AK 1987,1,MAIN
AK 1988,1,MAIN
AK 1989,0,MAIN
AK 1990,1,MAIN
AK 1991,1,MAIN
AK 1992,1,MAIN
AK 1993,1,MAIN
AK 1994,3,MAIN
AK 1995,3,MAIN
AK 1996,6,MAIN
AK 1997,6,MAIN
AK 1998,4,MAIN
AK 1999,6,MAIN
AK 2000,2,MAIN
AK 2001,3,MAIN
AK 2003,6,MAIN
AK 2004,6,MAIN
AK 2005,5,MAIN
AK 2006,0,MAIN
AK 2007,2,MAIN
AK 2008,0,MAIN
AK 2009,3,MAIN
AK 2010,2,MAIN
AK 2011,2,MAIN
AK 2013,0,MAIN
AK 2014,3,MAIN
AK 2015,14,MAIN
AK 2016,0,MAIN
AK 2017,0,MAIN
AK 2018,0,MAIN
AK 2019,0,MAIN
AK 2020,0,MAIN
AK 2021,0,MAIN
AK 2022,0,MAIN
AK 2023,15,MAIN
AK 2024,0,MAIN
AK 2025,8,MAIN
AK 2026,15,MAIN
AK 2027,6,MAIN
AK 2028,6,MAIN
AK 2029,2,MAIN
AK 2030,2,MAIN
AK 2031,3,MAIN
AK 2032,1,MAIN
AK 2033,0,MAIN
AK 2034,0,MAIN
AK 2036,0,MAIN
AK 2037,0,MAIN
AK 2038,5,MAIN
AK 2039,0,MAIN
AK 2040,0,MAIN
AK 2041,3,MAIN
AK 2042,3,MAIN
AK 2043,2,MAIN
AK 2044,2,MAIN
AK 2047,0,MAIN
AK 2048,2,MAIN
AK 2049,2,MAIN
AK 2050,8,MAIN
AK 2051,1,MAIN
AK 2052,0,MAIN
AK 2053,0,MAIN
AK 2054,6,MAIN
AK 2055,0,MAIN
AK 2056,2,MAIN
AK 2057,2,MAIN
AK 2058,2,MAIN
AK 2059,2,MAIN
AK 2060,2,MAIN
AK 2061,1,MAIN
AK 2062,2,MAIN
AK 2063,2,MAIN
AK 2064,2,MAIN
AK 2065,2,MAIN
AK 2066,1,MAIN
AK 2067,2,MAIN
AK 2068,1,MAIN
AK 2069,5,MAIN
AK 2070,1,MAIN
AK 2071,0,MAIN
AK 2072,0,MAIN
AK 2073,2,MAIN
AK 2074,2,MAIN
AK 2075,2,MAIN
AK 2076,0,MAIN
AK 2077,4,MAIN
AK 2078,5,MAIN
