PART#,CROSS,NV,TX,PA,FL,PRICE
14-0121C,,2,0,0,0,189.17
14-0121NC,,0,0,0,0,234.73
14-0121NEW,,0,0,0,0,287.77
14-0122C,,0,0,0,0,211.88
14-0122NC,,0,0,0,0,234.73
14-0122NEW,,156,6,0,1,163.25
14-0122P,,18,4,0,0,156.28
14-0122RC,,8,0,0,0,110.46
14-0123C,,0,0,0,0,171.97
14-0123N,,0,0,0,0,247.08
14-0123NC,,16,0,0,0,481.63
14-0123NEW,,124,0,10,1,154.89
14-0123NIP,,0,0,0,0,417.66
14-0123S,,0,0,0,0,229.3
14-0124C,,0,0,0,0,156.48
14-0124N,,0,0,0,0,222.6
14-0124NC,,0,0,0,0,338.03
14-0124NEW,,10,5,0,0,202.34
14-0124NIP,,2,1,0,0,324.61
14-0125C,,1,0,0,0,135.58
14-0125N,,0,0,0,0,212
14-0125NC,,0,1,0,5,191.29
14-0125NEW,,38,0,0,0,165.61
14-0125NIP,,6,0,0,0,234.73
14-0125RC,,6,0,0,0,112.7
14-0126NC,,1,0,0,0,339.34
14-0126NIP,,8,1,0,0,270.98
14-0127C,,0,0,0,1,139.69
14-0127NC,,0,0,0,0,446.74
14-0127NEW,,0,0,0,0,226.87
14-0127NIP,,0,0,0,1,325
14-0127RC,,1,0,0,0,203.75
14-0128C,,2,0,0,0,191.04
14-0128NC,,0,0,0,0,325.29
14-0128NEW,,0,0,0,0,153.99
14-0129C,,0,0,0,1,215.69
14-0129N,,0,0,0,0,151.91
14-0129NC,,6,3,0,1,162.08
14-0129NEW,,113,19,0,7,136.58
14-0129NIP,,7,0,0,0,234.73
14-0129RC,,3,0,0,0,112.72
14-0130C,,0,0,0,0,171.97
14-0130NC,,30,0,0,0,314.18
14-0130NEW,,0,0,0,0,184.07
14-0130NIP,,3,0,0,0,241.44
14-0131C,,0,0,0,0,229.3
14-0131NC,,0,0,0,0,252.33
14-0131NEW,,28,0,0,0,208.59
14-0132C,,0,0,0,0,139.69
14-0132MPR,,0,0,0,0,305.24
14-0132N,,0,0,0,0,140.76
14-0132NC,,0,0,0,0,322.03
14-0132NEW,,187,30,0,2,152.44
14-0132NIP,,1,2,0,2,320.48
14-0132RC,,14,0,0,1,115.55
14-0133C,,0,0,0,3,122.49
14-0133MPR,,0,0,0,0,287.21
14-0133N,,0,0,0,0,212
14-0133NC,,5,0,0,0,282.63
14-0133NEW,,317,18,0,9,135.75
14-0133NIP,,3,2,0,3,533.34
14-0133RC,,26,0,0,0,115.55
14-0134C,,2,0,0,0,573.25
14-0135C,,2,0,0,1,150.17
14-0135NC,,1,0,0,0,270.47
14-0135NEW,,103,26,0,4,166.98
14-0135NIP,,24,4,0,3,299.23
14-0135RC,,23,0,0,0,115.55
14-0136C,,1,0,0,0,220.7
14-0136N,,0,0,0,0,229.3
14-0136NC,,0,0,0,2,138.38
14-0137C,,1,0,0,0,157.22
14-0137FD,,0,0,0,0,403.75
14-0137NC,,0,0,0,0,612.36
14-0137NEW,,24,9,0,11,167.17
14-0137P,,10,2,0,0,167.36
14-0137RC,,23,0,0,0,108.16
14-0138C,,0,0,0,5,200.64
14-0138NC,,0,0,0,0,522.75
14-0138NEW,,0,0,0,0,250.73
14-0138NIP,,0,0,0,0,234.73
14-0139C,,0,0,0,0,283.76
14-0139NC,,0,0,0,0,436.84
14-0139NEW,,0,2,0,2,254.26
14-0139NIP,,2,5,0,1,399.09
14-0140C,,1,0,0,0,189.17
14-0140N,,0,0,0,0,212
14-0140NC,,4,0,0,5,440.34
14-0140NIP,,1,1,0,1,440.34
14-0141C,,0,0,0,0,203.36
14-0141NC,,3,0,0,0,175.89
14-0141NEW,,21,0,0,2,185.96
14-0141NIP,,0,0,0,0,234.73
14-0142C,,0,0,0,0,119.49
14-0142NC,,236,18,10,3,189.45
14-0142NEW,,587,26,0,4,183.27
14-0142NIP,,104,1,0,5,264.96
14-0142RC,,11,0,0,0,115.55
14-0143C,,1,0,0,0,111.64
14-0143N,,0,0,0,0,212
14-0143NC,,0,0,0,0,278.22
14-0143NEW,,218,11,0,2,167.42
14-0143NIP,,5,5,0,4,252.01
